Address,Area,Longitude,Latitude,Living area (m2),Rooms,Floor,Rent,Sold date,Listed price,Sold for (SEK),LongitudeXLatitude
Fyrskeppsvägen 120,Johanneshov,18.11322,59.28744,39,1,1,2517,2017-10-27,1995000,2250000,1073.8864439568
Sicklingsvägen 2,Enskede,18.08014,59.26302,53,2,3,3056,2017-10-27,2050000,2620000,1071.4836984228
Nybohovsbacken 68,Liljeholmen,18.01238212,59.30936227,82,4,7,5196,2017-10-27,4995000,5000000,1068.30289650075
Svartågatan 53,Bagarmossen,18.13946,59.27406,69,3,2,4648,2017-10-27,2700000,2900000,1075.1994404076
Hornsgatan 71,Södermalm,18.05284,59.31755,64,2,3,3338,2017-10-27,4895000,4600000,1070.850239342
Marviksvägen 12,Årsta,18.06355,59.30022,123,5,4,6983,2017-10-27,6475000,6825000,1071.172488981
Båtbyggargatan 34,Hammarby Sjöstad,18.10982096,59.30598262,88,3,0,5625,2017-10-27,5195000,5195000,1074.02072710507
Skånegatan 81,Södermalm,18.08352376,59.31290664,91,3,5,3821,2017-10-27,10450000,11100000,1072.5863564991
Skeppargatan 100,Gärdet,18.0907232,59.34301132,43.5,2,2,2346,2017-10-27,3690000,4170000,1073.55799164459
Olaus Magnus väg 46,Johanneshov,18.0938,59.2967,39,2,1,2925,2017-10-27,1995000,2330000,1072.90263046
Edagränd 8,Farsta,18.09905223,59.23865055,80,3,3,4415,2017-10-27,3395000,3650000,1072.16343033917
Ymsenvägen 10,Årsta,18.0683,59.2973,78,4,2,3030,2017-10-27,3795000,4000000,1071.40140559
Upplandsgatan 87,Vasastan,18.045,59.3459,34,1,0,1235,2017-10-27,3500000,3450000,1070.8967655
Voxnegränd 11,Skarpnäcks stadsdelsområde,18.13334769,59.27377016,60,2,1,3979,2017-10-27,2295000,2400000,1074.83188320843
Hägerstensvägen 109,Hägersten-Liljeholmen,18.00525916,59.30549068,100,4,3,4678,2017-10-27,6795000,7320000,1067.81072930436
Midsommarvägen 44,Hägersten-Liljeholmen,18.00801333,59.30046543,44,2,1,3003,2017-10-27,2595000,2770000,1067.88357193864
Essinge Brogata 39,Essingeöarna,18.003051,59.3247945,34,2,1,2500,2017-10-27,1995000,2275000,1068.02730094802
Södermannagatan 45,Södermalm,18.08267785,59.30949961,74,3,1,3733,2017-10-27,5995000,6150000,1072.47457489233
Tegelbruksvägen 20,Hägersten-Liljeholmen,18.01142456,59.30325429,51,2,0,3583,2017-10-27,3500000,3500000,1068.13609080683
Nykarlebygatan 69,Rinkeby-Kista,17.9157569,59.40999707,82.5,3,0,4999,2017-10-27,2800000,2820000,1064.37506493583
Torsgatan 27,Vasastan,18.03992595,59.33835562,29,1,2,1809,2017-10-27,2850000,2600000,1070.45954137957
Borgarfjordsgatan 21A,Rinkeby-Kista,17.94174291,59.40503992,59,2,19,3425,2017-10-27,2595000,2620000,1065.82995380293
Vibyholmsvägen 15,Älvsjö,18.03114961,59.28021771,87,4,1,4231,2017-10-27,2950000,3200000,1068.89047444238
Grev Magnigatan 17C,Östermalm,18.08709547,59.33386827,62,2,3,1807,2017-10-27,6550000,6700000,1073.17734000389
Wollmar Yxkullsgatan 11A,Södermalm,18.06266462,59.31648132,62,3,1,3725,2017-10-27,6000000,6050000,1071.41370852165
Alströmergatan 35,Kungsholmen,18.02965879,59.33538917,33,1,1.5,1758,2017-10-27,3000000,2650000,1069.79682090696
Primusgatan 88,Essingeöarna,18.0039352,59.3227305,88.5,3,2,4445,2017-10-27,5950000,6250000,1068.04259580906
Ola Hanssonsgatan 7,Kristineberg,18.00033689,59.33404855,45,2,1,2930,2017-10-27,3450000,3200000,1068.03286294762
Hammarby Kaj 4,Hammarby Sjöstad,18.08124304,59.30293119,113,4,8,5720,2017-10-27,8900000,10025000,1072.27071183079
Älvkarleövägen 4,Hjorthagen,18.09620976,59.35374221,44,2,2,2917,2017-10-27,2895000,3225000,1074.07776907313
Palmbladsvägen 2,Kungsholmen Fredhäll,18.0062561,59.3285997,34.5,2,1,2036,2017-10-27,2495000,2830000,1068.28596025258
Idungatan 14,Vasastan,18.04576278,59.34779155,58,3,2,1965,2017-10-27,4995000,5330000,1070.97616782819
Grusåsgränd 72,Enskededalen,18.09353828,59.2874221,130,6,1,5492,2017-10-27,5450000,5575000,1072.71924128887
Hantverkargatan 30,Kungsholmen Rådhuset,18.04214716,59.32926017,75,3,3,1380,2017-10-27,7450000,7400000,1070.42724288107
Rådmansgatan 39B,Centrum Norrmalm Vasastan,18.06034327,59.34075115,81,2,2,3278,2017-10-27,6995000,6650000,1071.71433566865
Bäckvägen 103,Telefonplan,17.99195451,59.30139155,45,2,2,4000,2017-10-27,1850000,2600000,1066.9479391473
Vickergatan 15,Södermalm,18.06560678,59.30679666,35.5,2,3,2038,2017-10-27,2495000,3100000,1071.41326784098
Ölandsgatan 46,Södermalm Katarina,18.07773471,59.30865423,46,2,1.5,3065,2017-10-27,3195000,3500000,1072.16611717706
Trollesundsvägen 31,Bandhagen,18.05209581,59.2694773,60.5,2,2,4402,2017-10-27,1700000,2170000,1069.93828282822
Birger Jarlsgatan 76,Östermalm,18.06356958,59.34390434,63,2,1,1982,2017-10-27,5250000,5600000,1071.96274519445
Sjöbjörnsvägen 9,Gröndal,18.0085006,59.3162237,66,3,3,3974,2017-10-27,4850000,4525000,1068.19625009118
Ystadsvägen 61,Björkhagen,18.1105113,59.29100006,63,3,2,3554,2017-10-27,2900000,3310000,1073.79032657493
Chapmansgatan 4,Kungsholmen,18.033,59.3285,27,1,1,1203,2017-10-27,2295000,2920000,1069.8708405
Blommensbergsvägen 155,Hägersten,17.99442,59.30642,56,3,3,3372,2017-10-27,3495000,3710000,1067.1846301764
Bjulevägen 29,Enskede-Årsta-Vantör,18.04219301,59.28084573,70,3,3,4397,2017-10-27,2350000,2500000,1069.55646045669
Hoburgsstigen 10,Bromma,17.98045185,59.33986427,46,2.5,1,2414,2017-10-27,2795000,2700000,1066.95757229227
Skidvägen 16,Hägersten-Liljeholmen,17.97623673,59.29362648,55,2,3,3101,2017-10-27,2395000,2950000,1065.87626618468
Skanörvägen 4,Björkhagen,18.11379433,59.29181642,80,4,2,4767,2017-10-27,4450000,5120000,1073.999768084
Fyrverkarbacken 21,Kungsholmen,18.02153476,59.32643743,128.5,5,2,5084,2017-10-27,8000000,9500000,1069.15345433171
Frejgatan 45,Vasastan,18.05437803,59.34640219,35,1,2,1722,2017-10-27,3250000,3600000,1071.46237985868
Tranebergsvägen 107,Bromma,17.97119737,59.33564635,68.5,3,3,3959,2017-10-27,3795000,3795000,1066.33261163237
Pilotgatan 5C,Skarpnäck,18.13289166,59.26489915,66,2,3,4627,2017-10-27,1950000,2280000,1074.64399552778
Floragatan 7,Östermalm,18.07475372,59.34209519,36,2,1,1832,2017-10-27,3695000,4000000,1072.59375578805
Tomtebogatan 5,Birkastan Vasastan,18.03633565,59.34123677,52,2,3.5,769,2017-10-27,4500000,4780000,1070.29846426984
Birkagatan 21,Birkastan,18.03419709,59.34060343,34,1,1,1125,2017-10-27,3200000,3420000,1070.16013769615
Katrinebergsbacken 24AV,Hägersten-Liljeholmen,18.02615751,59.31238349,104,4,7,5571,2017-10-27,5995000,6180000,1069.17436708426
Alströmergatan 32B,Kungsholmen,18.02594,59.33676,49,2,1.5,2222,2017-10-27,3450000,3850000,1069.6008755544
Bondegatan 22,Södermalm,18.07916799,59.31282961,71,3,4,3378,2017-10-27,5495000,5495000,1072.32661048144
Vedevågslingan 20,Hagsätra,18.01755,59.25784,87.5,4,3,4679,2017-10-27,1995000,2485000,1067.681095092
Imatragatan 101,Akalla,17.91760683,59.41071284,82.5,4,0,4967,2017-10-27,2920000,2920000,1064.49779415715
Vanadisplan 1,Vasastan,18.0402267,59.34469549,49,2,3,1901,2017-10-27,3750000,4240000,1070.59176008207
Folkparksvägen 182,Älvsjö,18.01140551,59.28288857,75,3,2,3717,2017-10-27,2795000,3610000,1067.76814583841
Ormbergsvägen 9,Gröndal,18.0090631,59.31723981,97,3.5,3,5061,2017-10-27,5850000,5850000,1068.24791465612
Tellusborgsvägen 90,Telefonplan,18.00199986,59.29879028,36,1.5,0,2060,2017-10-27,2625000,2570000,1067.49681431873
Helgalunden 13,Södermalm,18.07139978,59.31025309,20.5,1,3,1327,2017-10-27,1995000,2400000,1071.81929464237
Roslagsgatan 55,Vasastan,18.05616229,59.34969633,35.5,2,3,1770,2017-10-27,2950000,3500000,1071.6277487967
Årgångsgatan 1,Hägersten-Liljeholmen,18.03376007,59.30630112,108,4,23,5671,2017-10-27,9900000,9600000,1069.51560503725
Älvsborgsgatan 3,Södermalm,18.07337682,59.3091566,110,4,1,4312,2017-10-27,7975000,7300000,1071.91673610819
Upplandsgatan 59,Fastighetsbyrån Vasastan,18.04757172,59.34341469,87,4,2,2976,2017-10-27,7995000,8625000,1071.00453272748
Telefonvägen 19,Fastighetsbyrån Hägersten,18.00130576,59.29991416,71.3,2,5,3481,2017-10-27,2995000,3285000,1067.47588633591
Sparbanksvägen 24,Fastighetsbyrån Hägersten,17.98272295,59.2973346,69,2,2,2376,2017-10-27,2850000,3250000,1066.32753978525
Rosenlundsgatan 28B,Fastighetsbyrån Södermalm,18.05585792,59.31559599,28,1,1,933,2017-10-27,2495000,3160000,1070.99397363556
Bävervägen 46,Fastighetsbyrån Bromma,17.95301199,59.33518124,81,3,2,4869,2017-10-27,4295000,4730000,1065.24522023054
Ellen Keys gata 79,Fastighetsbyrån Hägersten,17.9664514,59.28436953,68,3,0.5,3365,2017-10-27,2650000,2950000,1065.12974394039
Rörstrandsgatan 48,Fastighetsbyrån Vasastan,18.02758743,59.34133229,26,2,1.5,1495,2017-10-27,2750000,3320000,1069.78105607066
Cedergrensvägen 52,Fastighetsbyrån Hägersten,17.99658033,59.30055945,35,2,1,2069,2017-10-27,2195000,2800000,1067.20728175587
Fendergatan 13,Fastighetsbyrån Hammarby Sjöstad,18.10475,59.30808,109,4,5,6612,2017-10-27,7950000,7650000,1073.75796138
Vittangigatan 5,Fastighetsbyrån Vällingby,17.87300913,59.36087299,41,1.5,1,2587,2017-10-27,1895000,2075000,1060.95742491504
Sveavägen 109,Vasastan,18.05319023,59.34614182,110,3.5,3,3704,2017-10-27,8750000,8750000,1071.38718769302
Norrbackagatan 24,Vasastan,18.03055,59.33966064,66,2,4,2395,2017-10-27,5275000,5300000,1069.92671815255
Sulitelmavägen 25,Traneberg,17.97684073,59.33809762,59,3,3,3149,2017-10-27,3500000,4300000,1066.71153013593
Parmmätargatan 22,Kungsholmen,18.04774,59.32971,20,1,3.5,1369,2017-10-27,1995000,2430000,1070.7671803554
Tjustgatan 4,Södermalm,18.07031,59.3121,24,1,5,2093,2017-10-27,2195000,2730000,1071.788033751
